Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.03, AvgRadius: 7.64, MaxRadius: 8.94, ViolationRate: 0.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.04, AvgRadius: 7.98, MaxRadius: 9.34, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.08, AvgRadius: 8.07, MaxRadius: 9.13, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.12, AvgRadius: 8.20, MaxRadius: 9.22, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.25, AvgRadius: 8.25, MaxRadius: 9.24, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.66, AvgRadius: 8.26, MaxRadius: 8.62, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.50, AvgRadius: 8.27, MaxRadius: 8.63, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 3.26, AvgRadius: 8.30, MaxRadius: 8.70, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 10.08, AvgRadius: 8.26, MaxRadius: 8.71, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 23.77, AvgRadius: 8.26, MaxRadius: 8.64, ViolationRate: 0.0%
Nodes: 2000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 47.54, AvgRadius: 8.29, MaxRadius: 8.68, ViolationRate: 0.0%
Nodes: 5000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 122.34, AvgRadius: 8.23, MaxRadius: 8.64, ViolationRate: 0.0%
Nodes: 10000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 298.00, AvgRadius: 8.28, MaxRadius: 8.67, ViolationRate: 0.0%
Nodes: 15000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 379.03, AvgRadius: 8.27, MaxRadius: 8.73, ViolationRate: 0.0%
Nodes: 20000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 503.12, AvgRadius: 8.26, MaxRadius: 8.60, ViolationRate: 0.0%
Nodes: 25000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 629.65, AvgRadius: 8.30, MaxRadius: 8.61, ViolationRate: 0.0%
Nodes: 30000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 764.44, AvgRadius: 8.32, MaxRadius: 8.64, ViolationRate: 0.0%
Nodes: 35000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 884.66, AvgRadius: 8.27, MaxRadius: 8.61, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.13, AvgRadius: 7.67, MaxRadius: 9.52, ViolationRate: 2.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.11, AvgRadius: 7.91, MaxRadius: 8.94, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.16, AvgRadius: 8.11, MaxRadius: 9.70, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.24, AvgRadius: 8.21, MaxRadius: 8.89, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.46, AvgRadius: 8.31, MaxRadius: 9.35, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.93, AvgRadius: 8.33, MaxRadius: 8.96, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.82, AvgRadius: 8.30, MaxRadius: 8.75, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.33, AvgRadius: 8.28, MaxRadius: 8.79, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 11.84, AvgRadius: 8.27, MaxRadius: 8.55, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 22.61, AvgRadius: 8.27, MaxRadius: 8.70, ViolationRate: 0.0%
Nodes: 2000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 75.66, AvgRadius: 8.25, MaxRadius: 8.52, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 15.27, AvgRadius: 9.84, MaxRadius: 10.14, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 14.14, AvgRadius: 9.92, MaxRadius: 10.24, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 15.34, AvgRadius: 9.83, MaxRadius: 10.21, ViolationRate: 0.0%
